holiday,temp,rain,snow,weather,date,Time,traffic_volume
No Holiday,,0.0,0.0,Clouds,06-10-2012,16:00:00,5024
No Holiday,278.91,0.0,0.0,Clouds,06-10-2012,17:00:00,4779
No Holiday,278.39,0.0,0.0,Clouds,06-10-2012,18:00:00,4362
No Holiday,278.16,0.0,0.0,Clouds,06-10-2012,19:00:00,3860
No Holiday,278.16,0.0,0.0,Clouds,06-10-2012,20:00:00,3160
No Holiday,277.93,0.0,0.0,Clouds,06-10-2012,21:00:00,2992
No Holiday,276.9,0.0,0.0,Clouds,06-10-2012,22:00:00,3202
No Holiday,276.34,0.0,0.0,Clouds,06-10-2012,23:00:00,1941
No Holiday,276.11,0.0,0.0,Clouds,07-10-2012,00:00:00,1233
No Holiday,275.73,0.0,0.0,Clouds,07-10-2012,03:00:00,323
No Holiday,275.65,0.0,0.0,Clouds,07-10-2012,04:00:00,312
No Holiday,275.51,0.0,0.0,Clouds,07-10-2012,05:00:00,627
No Holiday,275.05,0.0,0.0,Clouds,07-10-2012,06:00:00,1508
No Holiday,274.77,0.0,0.0,Clouds,07-10-2012,07:00:00,1539
No Holiday,274.77,0.0,0.0,Clouds,07-10-2012,08:00:00,2232
No Holiday,275.55,0.0,0.0,Clouds,07-10-2012,09:00:00,4568
No Holiday,276.24,0.0,0.0,Clouds,07-10-2012,10:00:00,4624
No Holiday,277.01,0.0,0.0,Clouds,07-10-2012,11:00:00,4529
No Holiday,277.43,0.0,0.0,Clouds,07-10-2012,12:00:00,5139
No Holiday,278.45,0.0,0.0,Clouds,07-10-2012,13:00:00,6640
No Holiday,279.27,0.0,0.0,Clouds,07-10-2012,14:00:00,6589
No Holiday,,0.0,0.0,Clouds,07-10-2012,15:00:00,4429
No Holiday,279.44,0.0,0.0,Clouds,07-10-2012,16:00:00,4329
No Holiday,279.32,0.0,0.0,Clouds,07-10-2012,17:00:00,3833
No Holiday,279.27,0.0,0.0,Clouds,07-10-2012,18:00:00,4015
No Holiday,278.11,0.0,0.0,Clouds,07-10-2012,19:00:00,3382
No Holiday,276.79,0.0,0.0,Clouds,07-10-2012,20:00:00,2815
No Holiday,275.73,0.0,0.0,Clouds,07-10-2012,21:00:00,2110
No Holiday,274.88,0.0,0.0,Clouds,07-10-2012,22:00:00,1555
No Holiday,273.92,0.0,0.0,Clouds,07-10-2012,23:00:00,959
Columbus Day,273.08,0.0,0.0,Clouds,08-10-2012,00:00:00,455
No Holiday,272.62,0.0,0.0,Clouds,08-10-2012,01:00:00,336
No Holiday,271.78,0.0,0.0,Clear,08-10-2012,02:00:00,265
No Holiday,,0.0,0.0,Clear,08-10-2012,03:00:00,314
No Holiday,270.63,0.0,0.0,Clear,08-10-2012,04:00:00,779
No Holiday,270.33,0.0,0.0,Clear,08-10-2012,05:00:00,2571
No Holiday,269.61,0.0,0.0,Clouds,08-10-2012,06:00:00,5563
No Holiday,270.01,0.0,0.0,Clouds,08-10-2012,07:00:00,6676
No Holiday,271.23,0.0,0.0,Clouds,08-10-2012,08:00:00,5966
No Holiday,273.71,0.0,0.0,Clouds,08-10-2012,09:00:00,4832
No Holiday,276.77,0.0,0.0,Clouds,08-10-2012,10:00:00,4395
No Holiday,279.47,0.0,0.0,Clouds,08-10-2012,11:00:00,4411
No Holiday,279.84,0.0,0.0,Clear,08-10-2012,12:00:00,4648
No Holiday,282.34,0.0,0.0,Clouds,08-10-2012,13:00:00,4602
No Holiday,282.94,0.0,0.0,Clouds,08-10-2012,14:00:00,5125
No Holiday,283.48,0.0,0.0,Clear,08-10-2012,15:00:00,5502
No Holiday,284.33,0.0,0.0,Clear,08-10-2012,16:00:00,5979
No Holiday,284.48,0.0,0.0,Clouds,08-10-2012,17:00:00,5663
No Holiday,284.23,0.0,0.0,Clouds,08-10-2012,18:00:00,4259
No Holiday,281.99,0.0,0.0,Clouds,08-10-2012,19:00:00,3069
No Holiday,279.81,0.0,0.0,Clear,08-10-2012,20:00:00,2378
No Holiday,279.35,0.0,0.0,Clear,08-10-2012,21:00:00,2030
No Holiday,278.9,0.0,0.0,Clear,08-10-2012,22:00:00,1400
No Holiday,278.46,0.0,0.0,Clear,08-10-2012,23:00:00,917
No Holiday,,0.0,0.0,Clear,09-10-2012,00:00:00,515
No Holiday,277.27,0.0,0.0,Clear,09-10-2012,01:00:00,302
No Holiday,277.47,0.0,0.0,Clear,09-10-2012,02:00:00,251
No Holiday,276.97,0.0,0.0,Clouds,09-10-2012,04:00:00,798
No Holiday,276.52,0.0,0.0,Clouds,09-10-2012,05:00:00,2678
No Holiday,276.6,0.0,0.0,Clouds,09-10-2012,06:00:00,5733
No Holiday,277.31,0.0,0.0,Clouds,09-10-2012,07:00:00,6449
No Holiday,278.38,0.0,0.0,Clouds,09-10-2012,08:00:00,5765
No Holiday,279.35,0.0,0.0,Clouds,09-10-2012,09:00:00,5599
No Holiday,281.37,0.0,0.0,Clouds,09-10-2012,10:00:00,4534
No Holiday,283.11,0.0,0.0,Clouds,09-10-2012,11:00:00,4691
No Holiday,284.08,0.0,0.0,Clouds,09-10-2012,12:00:00,5067
No Holiday,285.14,0.0,0.0,Clouds,09-10-2012,13:00:00,5030
No Holiday,286.35,0.0,0.0,Clouds,09-10-2012,14:00:00,5300
No Holiday,287.23,0.0,0.0,Rain,09-10-2012,15:00:00,5777
No Holiday,,0.0,0.0,Clouds,09-10-2012,16:00:00,6349
No Holiday,290.37,0.0,0.0,Clouds,09-10-2012,17:00:00,6127
No Holiday,290.13,0.0,0.0,Clouds,09-10-2012,18:00:00,4460
No Holiday,288.86,0.0,0.0,Clouds,09-10-2012,19:00:00,3418
No Holiday,287.36,0.0,0.0,Clouds,09-10-2012,20:00:00,2775
No Holiday,285.11,0.0,0.0,Clouds,09-10-2012,21:00:00,2306
No Holiday,283.46,0.0,0.0,Clouds,09-10-2012,22:00:00,1846
No Holiday,282.45,0.0,0.0,Clouds,09-10-2012,23:00:00,947
No Holiday,281.88,0.0,0.0,Clouds,10-10-2012,00:00:00,494
No Holiday,281.78,0.0,0.0,Clouds,10-10-2012,01:00:00,332
No Holiday,281.09,0.0,0.0,Clouds,10-10-2012,02:00:00,261
No Holiday,281.17,0.0,0.0,Clouds,10-10-2012,03:00:00,361
No Holiday,281.25,0.0,0.0,Clear,10-10-2012,06:00:00,5875
No Holiday,281.25,0.0,0.0,Rain,10-10-2012,07:00:00,6793
No Holiday,281.25,0.0,0.0,Drizzle,10-10-2012,07:00:00,6793
No Holiday,280.1,0.0,0.0,Rain,10-10-2012,08:00:00,6283
No Holiday,280.1,0.0,0.0,Drizzle,10-10-2012,08:00:00,6283
No Holiday,279.61,0.0,0.0,Rain,10-10-2012,09:00:00,5680
No Holiday,,0.0,0.0,Drizzle,10-10-2012,09:00:00,5680
No Holiday,,0.0,0.0,Clear,10-10-2012,10:00:00,4632
No Holiday,280.19,0.0,0.0,Clear,10-10-2012,11:00:00,4887
No Holiday,282.09,0.0,0.0,Clouds,10-10-2012,12:00:00,5030
No Holiday,282.26,0.0,0.0,Clouds,10-10-2012,13:00:00,5067
No Holiday,282.05,0.0,0.0,Clouds,10-10-2012,14:00:00,5227
No Holiday,281.59,0.0,0.0,Clouds,10-10-2012,15:00:00,5610
No Holiday,281.23,0.0,0.0,Clear,10-10-2012,16:00:00,6286
No Holiday,282.6,0.0,0.0,Clear,10-10-2012,18:00:00,4775
No Holiday,282.6,0.0,0.0,Clear,10-10-2012,19:00:00,3340
No Holiday,282.6,0.0,0.0,Clear,10-10-2012,20:00:00,3013
No Holiday,282.6,0.0,0.0,Clear,10-10-2012,21:00:00,2603
No Holiday,282.6,0.0,0.0,Clear,10-10-2012,22:00:00,1910
No Holiday,282.6,0.0,0.0,Clear,10-10-2012,23:00:00,1037
No Holiday,273.9,0.0,0.0,Clear,11-10-2012,01:00:00,347
No Holiday,274.4,0.0,0.0,Clouds,11-10-2012,03:00:00,350
No Holiday,274.05,0.0,0.0,Clouds,11-10-2012,04:00:00,850
No Holiday,273.71,0.0,0.0,Clouds,11-10-2012,05:00:00,2791
No Holiday,272.66,0.0,0.0,Clear,11-10-2012,06:00:00,5809
No Holiday,272.65,0.0,0.0,Clear,11-10-2012,07:00:00,6798
No Holiday,272.52,0.0,0.0,Clear,11-10-2012,08:00:00,6304
No Holiday,275.19,0.0,0.0,Clouds,11-10-2012,09:00:00,5291
No Holiday,275.34,0.0,0.0,Clear,11-10-2012,10:00:00,4638
No Holiday,284.1,0.0,0.0,Clear,11-10-2012,14:00:00,5557
No Holiday,284.1,0.0,0.0,Clear,11-10-2012,15:00:00,5818
No Holiday,283.78,0.0,0.0,Clouds,11-10-2012,16:00:00,6272
No Holiday,283.52,0.0,0.0,Clouds,11-10-2012,17:00:00,5944
No Holiday,,0.0,0.0,Clouds,11-10-2012,18:00:00,4949
No Holiday,282.06,0.0,0.0,Clouds,11-10-2012,19:00:00,3511
No Holiday,281.95,0.0,0.0,Clouds,11-10-2012,20:00:00,3039
No Holiday,281.81,0.0,0.0,Clouds,11-10-2012,21:00:00,2679
No Holiday,282.16,0.0,0.0,Clouds,11-10-2012,22:00:00,2094
No Holiday,282.53,0.0,0.0,Clouds,11-10-2012,23:00:00,1284
No Holiday,283.91,0.0,0.0,Clouds,12-10-2012,00:00:00,630
No Holiday,284.64,0.0,0.0,Clouds,12-10-2012,01:00:00,410
No Holiday,284.61,0.0,0.0,Clouds,12-10-2012,02:00:00,331
No Holiday,283.18,0.0,0.0,Drizzle,12-10-2012,03:00:00,372
No Holiday,282.26,0.0,0.0,Rain,12-10-2012,04:00:00,739
No Holiday,280.77,0.0,0.0,Drizzle,12-10-2012,05:00:00,2561
No Holiday,278.53,0.0,0.0,Clouds,12-10-2012,06:00:00,5586
No Holiday,277.64,0.0,0.0,Clouds,12-10-2012,07:00:00,6992
No Holiday,277.9,0.0,0.0,Clouds,12-10-2012,08:00:00,5860
No Holiday,,0.0,0.0,Clouds,12-10-2012,09:00:00,5230
No Holiday,279.29,0.0,0.0,Clouds,12-10-2012,10:00:00,4864
No Holiday,280.45,0.0,0.0,Clouds,12-10-2012,11:00:00,5146
No Holiday,280.95,0.0,0.0,Clouds,12-10-2012,12:00:00,5526
No Holiday,281.74,0.0,0.0,Clouds,12-10-2012,13:00:00,5383
No Holiday,281.84,0.0,0.0,Clouds,12-10-2012,14:00:00,5758
No Holiday,282.45,0.0,0.0,Clouds,12-10-2012,15:00:00,5889
No Holiday,282.2,0.0,0.0,Clouds,12-10-2012,16:00:00,6057
No Holiday,281.54,0.0,0.0,Clouds,12-10-2012,17:00:00,6028
No Holiday,280.21,0.0,0.0,Clouds,12-10-2012,18:00:00,5257
No Holiday,282.2,0.0,0.0,Clear,12-10-2012,23:00:00,1897
No Holiday,272.58,0.0,0.0,Clear,13-10-2012,00:00:00,1335
No Holiday,272.06,0.0,0.0,Clear,13-10-2012,01:00:00,769
No Holiday,270.99,0.0,0.0,Clear,13-10-2012,02:00:00,570
No Holiday,270.29,0.0,0.0,Clouds,13-10-2012,03:00:00,413
No Holiday,269.48,0.0,0.0,Clear,13-10-2012,04:00:00,399
No Holiday,269.27,0.0,0.0,Clear,13-10-2012,05:00:00,740
No Holiday,268.91,0.0,0.0,Clear,13-10-2012,06:00:00,1420
No Holiday,,0.0,0.0,Clouds,13-10-2012,07:00:00,2220
No Holiday,269.23,0.0,0.0,Clouds,13-10-2012,08:00:00,3479
No Holiday,272.61,0.0,0.0,Clouds,13-10-2012,09:00:00,4546
No Holiday,276.78,0.0,0.0,Clouds,13-10-2012,10:00:00,4579
No Holiday,279.22,0.0,0.0,Clear,13-10-2012,11:00:00,4438
No Holiday,280.35,0.0,0.0,Clear,13-10-2012,12:00:00,4623
No Holiday,281.81,0.0,0.0,Clear,13-10-2012,13:00:00,4440
No Holiday,283.05,0.0,0.0,Clear,13-10-2012,14:00:00,4495
No Holiday,283.96,0.0,0.0,Clear,13-10-2012,15:00:00,4483
No Holiday,284.53,0.0,0.0,Clear,13-10-2012,16:00:00,4591
No Holiday,284.44,0.0,0.0,Clear,13-10-2012,17:00:00,4477
No Holiday,283.64,0.0,0.0,Clear,13-10-2012,18:00:00,4221
No Holiday,281.85,0.0,0.0,Clouds,13-10-2012,19:00:00,3672
No Holiday,281.38,0.0,0.0,Clear,13-10-2012,20:00:00,3015
No Holiday,281.84,0.0,0.0,Clouds,13-10-2012,21:00:00,2769
No Holiday,282.23,0.0,0.0,Clouds,13-10-2012,22:00:00,2875
No Holiday,282.18,0.0,0.0,Clouds,13-10-2012,23:00:00,1931
No Holiday,282.49,0.0,0.0,Clouds,14-10-2012,00:00:00,1309
No Holiday,282.54,0.0,0.0,Clouds,14-10-2012,01:00:00,870
No Holiday,282.58,0.0,0.0,Clouds,14-10-2012,02:00:00,654
No Holiday,282.23,0.0,0.0,Clouds,14-10-2012,03:00:00,364
No Holiday,,0.0,0.0,Clouds,14-10-2012,04:00:00,262
No Holiday,282.23,0.0,0.0,Clouds,14-10-2012,05:00:00,505
No Holiday,282.24,0.0,0.0,Clouds,14-10-2012,06:00:00,861
No Holiday,282.24,0.0,0.0,Clouds,14-10-2012,07:00:00,1132
No Holiday,282.24,0.0,0.0,Mist,14-10-2012,08:00:00,1797
No Holiday,282.43,0.0,0.0,Drizzle,14-10-2012,09:00:00,2685
No Holiday,282.43,0.0,0.0,Mist,14-10-2012,09:00:00,2685
No Holiday,282.43,0.0,0.0,Haze,14-10-2012,09:00:00,2685
No Holiday,282.33,0.0,0.0,Drizzle,14-10-2012,10:00:00,3370
No Holiday,282.33,0.0,0.0,Mist,14-10-2012,10:00:00,3370
No Holiday,282.82,0.0,0.0,Drizzle,14-10-2012,11:00:00,3662
No Holiday,282.82,0.0,0.0,Mist,14-10-2012,11:00:00,3662
No Holiday,283.33,0.0,0.0,Mist,14-10-2012,12:00:00,4076
No Holiday,283.33,0.0,0.0,Rain,14-10-2012,12:00:00,4076
No Holiday,283.33,0.0,0.0,Drizzle,14-10-2012,12:00:00,4076
No Holiday,283.75,0.0,0.0,Rain,14-10-2012,13:00:00,4128
No Holiday,283.75,0.0,0.0,Mist,14-10-2012,13:00:00,4128
No Holiday,283.75,0.0,0.0,Drizzle,14-10-2012,13:00:00,4128
No Holiday,284.09,0.0,0.0,Mist,14-10-2012,14:00:00,4358
No Holiday,284.09,0.0,0.0,Rain,14-10-2012,14:00:00,4358
No Holiday,284.09,0.0,0.0,Drizzle,14-10-2012,14:00:00,4358
No Holiday,284.55,0.0,0.0,Mist,14-10-2012,15:00:00,4342
No Holiday,284.55,0.0,0.0,Rain,14-10-2012,15:00:00,4342
No Holiday,284.68,0.0,0.0,Mist,14-10-2012,16:00:00,4234
No Holiday,284.64,0.0,0.0,Rain,14-10-2012,17:00:00,4271
No Holiday,284.64,0.0,0.0,Mist,14-10-2012,17:00:00,4271
No Holiday,284.4,0.0,0.0,,14-10-2012,18:00:00,4080
No Holiday,,0.0,0.0,Mist,14-10-2012,19:00:00,3453
No Holiday,284.03,0.0,0.0,Mist,14-10-2012,20:00:00,2718
No Holiday,283.58,0.0,0.0,Mist,14-10-2012,21:00:00,2439
No Holiday,283.04,0.0,0.0,Mist,14-10-2012,22:00:00,1819
No Holiday,281.95,0.0,0.0,Mist,14-10-2012,23:00:00,1002
No Holiday,281.95,0.0,0.0,Fog,14-10-2012,23:00:00,1002
No Holiday,281.61,0.0,0.0,,15-10-2012,00:00:00,542
No Holiday,281.61,0.0,0.0,Fog,15-10-2012,00:00:00,542
No Holiday,281.57,0.0,0.0,Fog,15-10-2012,01:00:00,303
No Holiday,281.42,0.0,0.0,Fog,15-10-2012,02:00:00,239
No Holiday,281.29,0.0,0.0,Mist,15-10-2012,03:00:00,335
No Holiday,281.29,0.0,0.0,Fog,15-10-2012,03:00:00,335
No Holiday,281.02,0.0,0.0,Mist,15-10-2012,04:00:00,810
No Holiday,281.02,0.0,0.0,Fog,15-10-2012,04:00:00,810
No Holiday,280.82,0.0,0.0,Mist,15-10-2012,05:00:00,2606
No Holiday,,0.0,0.0,Fog,15-10-2012,05:00:00,2606
No Holiday,280.39,0.0,0.0,Mist,15-10-2012,06:00:00,5714
No Holiday,280.19,0.0,0.0,Mist,15-10-2012,07:00:00,6798
No Holiday,279.82,0.0,0.0,Mist,15-10-2012,08:00:00,6114
No Holiday,279.75,0.0,0.0,Mist,15-10-2012,09:00:00,5094
No Holiday,280.07,0.0,0.0,Mist,15-10-2012,10:00:00,4473
No Holiday,280.32,0.0,0.0,Clouds,15-10-2012,11:00:00,4529
No Holiday,281.72,0.0,0.0,Clear,15-10-2012,12:00:00,4823
No Holiday,284.01,0.0,0.0,Clouds,15-10-2012,13:00:00,4872
No Holiday,285.88,0.0,0.0,Clear,15-10-2012,14:00:00,5238
No Holiday,286.87,0.0,0.0,Clear,15-10-2012,15:00:00,5584
No Holiday,287.6,0.0,0.0,Clouds,15-10-2012,16:00:00,6246
No Holiday,287.27,0.0,0.0,Clouds,15-10-2012,17:00:00,5957
No Holiday,286.18,0.0,0.0,Clouds,15-10-2012,18:00:00,4535
No Holiday,285.2,0.0,0.0,,15-10-2012,19:00:00,3234
No Holiday,284.68,0.0,0.0,Clouds,15-10-2012,20:00:00,2677
No Holiday,284.49,0.0,0.0,Clouds,15-10-2012,21:00:00,2077
No Holiday,283.54,0.0,0.0,Clouds,15-10-2012,22:00:00,1380
No Holiday,,0.0,0.0,Clouds,15-10-2012,23:00:00,927
No Holiday,281.21,0.0,0.0,Clouds,16-10-2012,00:00:00,500
No Holiday,279.87,0.0,0.0,Clear,16-10-2012,01:00:00,324
No Holiday,278.93,0.0,0.0,Clear,16-10-2012,02:00:00,257
No Holiday,277.91,0.0,0.0,Clear,16-10-2012,03:00:00,354
No Holiday,277.21,0.0,0.0,Clear,16-10-2012,04:00:00,769
No Holiday,276.61,0.0,0.0,Clear,16-10-2012,05:00:00,2769
No Holiday,276.11,0.0,0.0,Clear,16-10-2012,06:00:00,5789
No Holiday,274.81,0.0,0.0,Clouds,16-10-2012,07:00:00,7055
No Holiday,274.99,0.0,0.0,Clouds,16-10-2012,08:00:00,6408
No Holiday,277.91,0.0,0.0,Clouds,16-10-2012,09:00:00,5254
No Holiday,280.71,0.0,0.0,Clouds,16-10-2012,10:00:00,4547
No Holiday,283.85,0.0,0.0,Clouds,16-10-2012,11:00:00,4784
No Holiday,286.01,0.0,0.0,Clouds,16-10-2012,12:00:00,5015
No Holiday,286.31,0.0,0.0,,16-10-2012,13:00:00,5057
No Holiday,288.15,0.0,0.0,Clouds,16-10-2012,14:00:00,5430
No Holiday,289.15,0.0,0.0,Clouds,16-10-2012,15:00:00,5813
No Holiday,288.99,0.0,0.0,Clouds,16-10-2012,16:00:00,6496
No Holiday,,0.0,0.0,Clouds,16-10-2012,17:00:00,6429
No Holiday,288.16,0.0,0.0,Clouds,16-10-2012,18:00:00,5142
No Holiday,287.28,0.0,0.0,Rain,16-10-2012,19:00:00,3311
No Holiday,287.04,0.0,0.0,Clouds,16-10-2012,20:00:00,2777
No Holiday,286.9,0.0,0.0,Clouds,16-10-2012,21:00:00,2331
No Holiday,287.09,0.0,0.0,Clouds,16-10-2012,22:00:00,1767
No Holiday,287.09,0.0,0.0,Clouds,16-10-2012,23:00:00,1093
No Holiday,286.89,0.0,0.0,Clouds,17-10-2012,00:00:00,554
No Holiday,286.93,0.0,0.0,Clouds,17-10-2012,01:00:00,333
No Holiday,286.93,0.0,0.0,Clouds,17-10-2012,02:00:00,267
No Holiday,287.07,0.0,0.0,Clouds,17-10-2012,03:00:00,358
No Holiday,286.56,0.0,0.0,,17-10-2012,04:00:00,777
No Holiday,285.91,0.0,0.0,Clouds,17-10-2012,05:00:00,2732
No Holiday,285.29,0.0,0.0,Clouds,17-10-2012,06:00:00,5637
No Holiday,284.92,0.0,0.0,Clouds,17-10-2012,07:00:00,5564
No Holiday,,0.0,0.0,Clouds,17-10-2012,08:00:00,6274
No Holiday,285.72,0.0,0.0,Rain,17-10-2012,09:00:00,5403
No Holiday,285.72,0.0,0.0,Rain,17-10-2012,09:00:00,5403
No Holiday,287.09,0.0,0.0,Clouds,17-10-2012,10:00:00,4680
No Holiday,288.31,0.0,0.0,Clouds,17-10-2012,11:00:00,4642
No Holiday,288.61,0.0,0.0,Clear,17-10-2012,12:00:00,4979
No Holiday,290.32,0.0,0.0,Clear,17-10-2012,13:00:00,4851
No Holiday,291.36,0.0,0.0,Clear,17-10-2012,14:00:00,4291
